"id","engineCode","transmissionCode","intervalMileage","frequency","action","item","itemDescription","laborUnits","partUnits","driveType","modelYear"
256304,"4INAG2.5","MANUAL",30000,4,"Change","Manual transmission fluid","The fluid used for lubricating and cooling a manual transmission.",0.5,3.5,"ALL","2001"
256303,"4INAG2.5","MANUAL",112500,3,"Check level","Manual transmission fluid","The fluid used for lubricating and cooling a manual transmission.",0.1,0,"ALL","2001"
256297,"4INAG2.5","MANUAL",52500,3,"Check level","Manual transmission fluid","The fluid used for lubricating and cooling a manual transmission.",0.1,0,"ALL","2001"
256300,"4INAG2.5","MANUAL",82500,3,"Check level","Manual transmission fluid","The fluid used for lubricating and cooling a manual transmission.",0.1,0,"ALL","2001"
256293,"4INAG2.5","MANUAL",15000,3,"Check level","Manual transmission fluid","The fluid used for lubricating and cooling a manual transmission.",0.1,0,"ALL","2001"
256302,"4INAG2.5","MANUAL",105000,3,"Check level","Manual transmission fluid","The fluid used for lubricating and cooling a manual transmission.",0.1,0,"ALL","2001"
256295,"4INAG2.5","MANUAL",37500,3,"Check level","Manual transmission fluid","The fluid used for lubricating and cooling a manual transmission.",0.1,0,"ALL","2001"
256292,"4INAG2.5","MANUAL",7500,3,"Check level","Manual transmission fluid","The fluid used for lubricating and cooling a manual transmission.",0.1,0,"ALL","2001"
256299,"4INAG2.5","MANUAL",75000,3,"Check level","Manual transmission fluid","The fluid used for lubricating and cooling a manual transmission.",0.1,0,"ALL","2001"
256296,"4INAG2.5","MANUAL",45000,3,"Check level","Manual transmission fluid","The fluid used for lubricating and cooling a manual transmission.",0.1,0,"ALL","2001"
256298,"4INAG2.5","MANUAL",67500,3,"Check level","Manual transmission fluid","The fluid used for lubricating and cooling a manual transmission.",0.1,0,"ALL","2001"
256301,"4INAG2.5","MANUAL",97500,3,"Check level","Manual transmission fluid","The fluid used for lubricating and cooling a manual transmission.",0.1,0,"ALL","2001"
256355,"6INAG4.2","MANUAL",97500,3,"Check level","Manual transmission fluid","The fluid used for lubricating and cooling a manual transmission.",0.1,0,"ALL","2001"
256347,"6INAG4.2","MANUAL",15000,3,"Check level","Manual transmission fluid","The fluid used for lubricating and cooling a manual transmission.",0.1,0,"ALL","2001"
256348,"6INAG4.2","MANUAL",22500,3,"Check level","Manual transmission fluid","The fluid used for lubricating and cooling a manual transmission.",0.1,0,"ALL","2001"
256356,"6INAG4.2","MANUAL",105000,3,"Check level","Manual transmission fluid","The fluid used for lubricating and cooling a manual transmission.",0.1,0,"ALL","2001"
256358,"6INAG4.2","MANUAL",30000,4,"Change","Manual transmission fluid","The fluid used for lubricating and cooling a manual transmission.",0.5,3.4,"ALL","2001"
256350,"6INAG4.2","MANUAL",45000,3,"Check level","Manual transmission fluid","The fluid used for lubricating and cooling a manual transmission.",0.1,0,"ALL","2001"
256351,"6INAG4.2","MANUAL",52500,3,"Check level","Manual transmission fluid","The fluid used for lubricating and cooling a manual transmission.",0.1,0,"ALL","2001"
256349,"6INAG4.2","MANUAL",37500,3,"Check level","Manual transmission fluid","The fluid used for lubricating and cooling a manual transmission.",0.1,0,"ALL","2001"
256346,"6INAG4.2","MANUAL",7500,3,"Check level","Manual transmission fluid","The fluid used for lubricating and cooling a manual transmission.",0.1,0,"ALL","2001"
256354,"6INAG4.2","MANUAL",82500,3,"Check level","Manual transmission fluid","The fluid used for lubricating and cooling a manual transmission.",0.1,0,"ALL","2001"
256352,"6INAG4.2","MANUAL",67500,3,"Check level","Manual transmission fluid","The fluid used for lubricating and cooling a manual transmission.",0.1,0,"ALL","2001"
256353,"6INAG4.2","MANUAL",75000,3,"Check level","Manual transmission fluid","The fluid used for lubricating and cooling a manual transmission.",0.1,0,"ALL","2001"
256357,"6INAG4.2","MANUAL",112500,3,"Check level","Manual transmission fluid","The fluid used for lubricating and cooling a manual transmission.",0.1,0,"ALL","2001"
256291,"4INAG2.5","AUTOMATIC",30000,4,"Change","Automatic transmission fluid","The fluid used for lubricating and cooling an automatic transmission.",0.5,4.2,"ALL","2001"
256345,"6INAG4.2","AUTOMATIC",30000,4,"Change","Automatic transmission fluid","The fluid used for lubricating and cooling an automatic transmission.",0.5,4.2,"ALL","2001"
283152,"6INAG4.0","ALL",7500,4,"Change","Engine oil","A substance that lubricates and cools the moving parts of the engine and reduces corrosion and the formation of rust.",0.24,6,"ALL","2002"
283198,"6INAG4.0","ALL",67500,3,"Rotate","Wheels & tires","A circular frame of hard material that may be solid or partly solid, is capable of  turning on an axle, and holds the rubber cushion that contains compressed air.",0.3,0,"ALL","2002"
283200,"6INAG4.0","ALL",97500,3,"Rotate","Wheels & tires","A circular frame of hard material that may be solid or partly solid, is capable of  turning on an axle, and holds the rubber cushion that contains compressed air.",0.3,0,"ALL","2002"
283162,"6INAG4.0","ALL",7500,4,"Replace","Oil filter","A cartridge-filled canister placed in an engine's lubricating system to strain dirt and abrasive materials out of the oil.",0.1,1,"ALL","2002"
283177,"6INAG4.0","ALL",60000,4,"Replace","Distributor cap","The nonconductive cap of the distributor that contains the contacts leading to each individual spark plug.",0.6,1,"ALL","2002"
283201,"6INAG4.0","ALL",112500,3,"Rotate","Wheels & tires","A circular frame of hard material that may be solid or partly solid, is capable of  turning on an axle, and holds the rubber cushion that contains compressed air.",0.3,0,"ALL","2002"
283158,"6INAG4.0","ALL",52500,3,"Flush/replace","Coolant","Also known as ""antifreeze."" A mixture of water and ethylene glycol that has both a higher boiling point and a lower freezing point than plain water.",0.7,1.5,"ALL","2002"
283135,"6INAG4.0","ALL",7500,4,"Inspect","Steering linkage","The arrangement of rods and lubricated joints connecting the steering gearbox to the wheel spindles.",0.1,0,"ALL","2002"
283197,"6INAG4.0","ALL",52500,3,"Rotate","Wheels & tires","A circular frame of hard material that may be solid or partly solid, is capable of  turning on an axle, and holds the rubber cushion that contains compressed air.",0.3,0,"ALL","2002"
283128,"6INAG4.0","ALL",30000,4,"Lubricate","Hinges, locks & latches","The devices that allow or prevent the opening of doors and hatches.",0.05,0,"ALL","2002"
283140,"6INAG4.0","ALL",7500,4,"Inspect","Differential, front","A set of gears that transfers the power of the rotating driveshaft to drive wheels in front and rear-wheel-drive vehicles. The differential also allows each of the opposing wheels to turn at a different speed when cornering.",0.05,0,"ALL","2002"
283163,"6INAG4.0","ALL",60000,4,"Replace","Vacuum lines & hoses","Flexible tubing used to carry air, fluids, vapors or pressurized gas.",0.4,1,"ALL","2002"
