"id","bulletinNumber","bulletinDateMonth","bulletinDate","componentNumber","componentDescription","nhtsaItemNumber","modelYearId","summaryText"
103363,"080600","2","2000-02-01",114000,"ELECTRICAL SYSTEM:WIRING","609995",2003,"THIS BULLETIN PROVIDES A REVISED WIRE SPLICE PROCEDURE AND RELATED PARTS.   ( NHTSA ITEM NUMBER - 609995 )"
23187,"110798","9812","1998-12-01",63200,"ENGINE AND ENGINE COOLING:EXHAUST SYSTEM:MANIFOLD/HEADER/MUFFLER/TAIL PIPE","603108",2003,"OUTER EXHAUST MANIFOLD STUDS MAY FATIGUE/BREAK.   ( NHTSA ITEM NUMBER - 603108 )"
23186,"110798","9807","1998-07-01",63000,"ENGINE AND ENGINE COOLING:EXHAUST SYSTEM","602327",2003,"THE OUTER EXHAUST MANIFOLD STUDS MAY FATIGUE AND BREAK.   ( NHTSA ITEM NUMBER - 602327 )"
103364,"081698","9804","1998-04-01",353400,"EQUIPMENT:ELECTRICAL:RADIO/TAPE DECK/CD ETC.","600862",2003,"INFORMATION ON INSTALLATION OF RADIO TRANSMITTING EQUIPMENT.   ( NHTSA ITEM NUMBER - 600862 )"
23184,"070397","9705","1997-05-01",60000,"ENGINE AND ENGINE COOLING","6088786",2003,"CONCERNS WITH ENGINE COOLANT USAGE.   ( NHTSA ITEM NUMBER - 6088786 )"
23185,"070397","9705","1997-05-01",62000,"ENGINE AND ENGINE COOLING:COOLING SYSTEM","52963",2003,"VARIOUS CAR OWNER'S HAVE EXPRESSED INTEREST IN USING ENGINE COOLANTS MADE WITH PROPYLENE GLYCOL INSTEAD OF ETHYLENE GLYCOL.   ( NHTSA ITEM NUMBER - 52963 )"
103366,"230397","9702","1997-02-01",161000,"STRUCTURE:FRAME AND MEMBERS","51942",2003,"DIFFICULT TO CLEAN LIGHT COLORED ""CHALKY"" RESIDUE FROM PLASTIC BODY COMPONENTS THAT ARE MOLDED IN BLACK.   ( NHTSA ITEM NUMBER - 51942 )"
103368,"CH232695","9505","1995-05-01",131000,"VISIBILITY:WINDSHIELD","43052",2003,"UNKNOWN   ( NHTSA ITEM NUMBER - 43052 )"
103367,"CH231895","9504","1995-04-01",162900,"STRUCTURE:BODY:ROOF AND PILLARS","41035",2003,"THE SPREADER BAR LOCATED BETWEEN THE CENTER AND REAR BOWS MAY NOT STAY IN THE LOCKED POSITION.   ( NHTSA ITEM NUMBER - 41035 )"
103372,"1802002","206","2002-06-01",980000,"OTHER","634272",2004,"FLASH PROGRAMMING FAILURE RECOVERY.   ( NHTSA ITEM NUMBER - 634272 )"
103369,"0800600REV","12","2000-12-01",110000,"ELECTRICAL SYSTEM","618049",2004,"SUBJECT REGARDING WIRE SPLICE REPAIRS.   ( NHTSA ITEM NUMBER - 618049 )"
103370,"080600","2","2000-02-01",114000,"ELECTRICAL SYSTEM:WIRING","609995",2004,"THIS BULLETIN PROVIDES A REVISED WIRE SPLICE PROCEDURE AND RELATED PARTS.   ( NHTSA ITEM NUMBER - 609995 )"
23192,"110798","9812","1998-12-01",63200,"ENGINE AND ENGINE COOLING:EXHAUST SYSTEM:MANIFOLD/HEADER/MUFFLER/TAIL PIPE","603108",2004,"OUTER EXHAUST MANIFOLD STUDS MAY FATIGUE/BREAK.   ( NHTSA ITEM NUMBER - 603108 )"
23191,"110798","9807","1998-07-01",63200,"ENGINE AND ENGINE COOLING:EXHAUST SYSTEM:MANIFOLD/HEADER/MUFFLER/TAIL PIPE","602327",2004,"THE OUTER EXHAUST MANIFOLD STUDS MAY FATIGUE AND BREAK.   ( NHTSA ITEM NUMBER - 602327 )"
103371,"081698","9804","1998-04-01",353400,"EQUIPMENT:ELECTRICAL:RADIO/TAPE DECK/CD ETC.","600862",2004,"INFORMATION ON INSTALLATION OF RADIO TRANSMITTING EQUIPMENT.   ( NHTSA ITEM NUMBER - 600862 )"
103374,"220197","9706","1997-06-01",190000,"TIRES","6089038",2004,"INFORMATION ON TIRE AND WHEEL RUNOUT.   ( NHTSA ITEM NUMBER - 6089038 )"
23188,"070397","9705","1997-05-01",60000,"ENGINE AND ENGINE COOLING","6088786",2004,"CONCERNS WITH ENGINE COOLANT USAGE.   ( NHTSA ITEM NUMBER - 6088786 )"
23189,"070397","9705","1997-05-01",62000,"ENGINE AND ENGINE COOLING:COOLING SYSTEM","52963",2004,"VARIOUS CAR OWNER'S HAVE EXPRESSED INTEREST IN USING ENGINE COOLANTS MADE WITH PROPYLENE GLYCOL INSTEAD OF ETHYLENE GLYCOL.   ( NHTSA ITEM NUMBER - 52963 )"
103375,"230397","9702","1997-02-01",161000,"STRUCTURE:FRAME AND MEMBERS","51942",2004,"DIFFICULT TO CLEAN LIGHT COLORED ""CHALKY"" RESIDUE FROM PLASTIC BODY COMPONENTS THAT ARE MOLDED IN BLACK.   ( NHTSA ITEM NUMBER - 51942 )"
103373,"183495","9512","1995-12-01",116000,"ELECTRICAL SYSTEM:IGNITION","46491",2004,"BULLETIN APPLIES TO VEHICLES EQUIPPED W/ 2.5L, 4.0L OR 5.2L ENGINE BUILT TO 4-1-94 (MDH 4-1-XX). INTERMITTENT ENGINE MISS AND/OR ROUGH IDLE, OR HARD START/NO START MAY BE EXPERIENCED. REPLACE ALL WIRES BY REFERRING TO APPROPRIATE SERVICE M   ( NHTSA ITEM NUMBER - 46491 )"
103377,"CH232695","9505","1995-05-01",131000,"VISIBILITY:WINDSHIELD","43052",2004,"UNKNOWN   ( NHTSA ITEM NUMBER - 43052 )"
103376,"CH231895","9504","1995-04-01",162900,"STRUCTURE:BODY:ROOF AND PILLARS","41035",2004,"THE SPREADER BAR LOCATED BETWEEN THE CENTER AND REAR BOWS MAY NOT STAY IN THE LOCKED POSITION.   ( NHTSA ITEM NUMBER - 41035 )"
23190,"091993","9311","1993-11-01",61000,"ENGINE AND ENGINE COOLING:ENGINE","39528",2004,"NEW COATED PISTONS.   ( NHTSA ITEM NUMBER - 39528 )"
23197,"2100903","510","2005-10-01",103000,"POWER TRAIN:AUTOMATIC TRANSMISSION","10003524",2005,"AUTOMATIC TRANSMISSION DIAGNOSTIC TEARDOWN PROCEDURE.   VARIOUS MODELS INCLUDING THE 2004 RAM TRUCK, DURANGO, SEBRING CONVERTIBLE, CHEROKEE, VISION, NEON, AND VOYAGER.   ( NHTSA ITEM NUMBER - 10003524 )"
103381,"1802002","206","2002-06-01",980000,"OTHER","634272",2005,"FLASH PROGRAMMING FAILURE RECOVERY.   ( NHTSA ITEM NUMBER - 634272 )"
103378,"0800600REV","12","2000-12-01",110000,"ELECTRICAL SYSTEM","618049",2005,"SUBJECT REGARDING WIRE SPLICE REPAIRS.   ( NHTSA ITEM NUMBER - 618049 )"
103379,"080600","2","2000-02-01",114000,"ELECTRICAL SYSTEM:WIRING","609995",2005,"THIS BULLETIN PROVIDES A REVISED WIRE SPLICE PROCEDURE AND RELATED PARTS.   ( NHTSA ITEM NUMBER - 609995 )"
23196,"110798","9812","1998-12-01",63200,"ENGINE AND ENGINE COOLING:EXHAUST SYSTEM:MANIFOLD/HEADER/MUFFLER/TAIL PIPE","603108",2005,"OUTER EXHAUST MANIFOLD STUDS MAY FATIGUE/BREAK.   ( NHTSA ITEM NUMBER - 603108 )"
103382,"183298","9809","1998-09-01",162000,"STRUCTURE:BODY","603635",2005,"SUBJECT ON FLASH PROGRAMMING FAILURE RECOVERY.   ( NHTSA ITEM NUMBER - 603635 )"
23195,"110798","9807","1998-07-01",63200,"ENGINE AND ENGINE COOLING:EXHAUST SYSTEM:MANIFOLD/HEADER/MUFFLER/TAIL PIPE","602327",2005,"THE OUTER EXHAUST MANIFOLD STUDS MAY FATIGUE AND BREAK.   ( NHTSA ITEM NUMBER - 602327 )"
103380,"081698","9804","1998-04-01",353400,"EQUIPMENT:ELECTRICAL:RADIO/TAPE DECK/CD ETC.","600862",2005,"INFORMATION ON INSTALLATION OF RADIO TRANSMITTING EQUIPMENT.   ( NHTSA ITEM NUMBER - 600862 )"
103384,"220197","9706","1997-06-01",190000,"TIRES","6089038",2005,"INFORMATION ON TIRE AND WHEEL RUNOUT.   ( NHTSA ITEM NUMBER - 6089038 )"
23193,"070397","9705","1997-05-01",60000,"ENGINE AND ENGINE COOLING","6088786",2005,"CONCERNS WITH ENGINE COOLANT USAGE.   ( NHTSA ITEM NUMBER - 6088786 )"
23194,"070397","9705","1997-05-01",62000,"ENGINE AND ENGINE COOLING:COOLING SYSTEM","52963",2005,"VARIOUS CAR OWNER'S HAVE EXPRESSED INTEREST IN USING ENGINE COOLANTS MADE WITH PROPYLENE GLYCOL INSTEAD OF ETHYLENE GLYCOL.   ( NHTSA ITEM NUMBER - 52963 )"
103385,"230397","9702","1997-02-01",161000,"STRUCTURE:FRAME AND MEMBERS","51942",2005,"DIFFICULT TO CLEAN LIGHT COLORED ""CHALKY"" RESIDUE FROM PLASTIC BODY COMPONENTS THAT ARE MOLDED IN BLACK.   ( NHTSA ITEM NUMBER - 51942 )"
103383,"183495","9512","1995-12-01",116000,"ELECTRICAL SYSTEM:IGNITION","46491",2005,"BULLETIN APPLIES TO VEHICLES EQUIPPED W/ 2.5L, 4.0L OR 5.2L ENGINE BUILT TO 4-1-94 (MDH 4-1-XX). INTERMITTENT ENGINE MISS AND/OR ROUGH IDLE, OR HARD START/NO START MAY BE EXPERIENCED. REPLACE ALL WIRES BY REFERRING TO APPROPRIATE SERVICE M   ( NHTSA ITEM NUMBER - 46491 )"
103387,"CH232695","9505","1995-05-01",131000,"VISIBILITY:WINDSHIELD","43052",2005,"UNKNOWN   ( NHTSA ITEM NUMBER - 43052 )"
103386,"CH231895","9504","1995-04-01",162900,"STRUCTURE:BODY:ROOF AND PILLARS","41035",2005,"THE SPREADER BAR LOCATED BETWEEN THE CENTER AND REAR BOWS MAY NOT STAY IN THE LOCKED POSITION.   ( NHTSA ITEM NUMBER - 41035 )"
23198,"210295","9503","1995-03-01",103600,"POWER TRAIN:AUTOMATIC TRANSMISSION:COOLING UNIT AND LINES","39969",2005,"AUTOMATIC TRANSMISSION EQUIPPED VEHICLES ARE NOW EQUIPPED WITH QUICK CONNECTOR FITTINGS IN THE TRANSMISSION COOLER LINES.   ( NHTSA ITEM NUMBER - 39969 )"
160863,"1900306","608","2006-08-01",10000,"STEERING","10020334",2006,"STEERING SHIMMY.   ( NHTSA ITEM NUMBER - 10020334 )"
161616,"22","608","2006-08-01",61000,"ENGINE AND ENGINE COOLING:ENGINE","10020666",2006,"REPROGRAM PCM AND INSPECT CATALYTIC CONVERTER.   ( NHTSA ITEM NUMBER - 10020666 )"
158598,"2301006","602","2006-02-01",162000,"STRUCTURE:BODY","10019535",2006,"PRIMARY DOOR WEATHERSTRIP WATER LEAK AT A-PILLAR BELT LINE.   ( NHTSA ITEM NUMBER - 10019535 )"
23212,"2100903","510","2005-10-01",103000,"POWER TRAIN:AUTOMATIC TRANSMISSION","10003524",2006,"AUTOMATIC TRANSMISSION DIAGNOSTIC TEARDOWN PROCEDURE.   VARIOUS MODELS INCLUDING THE 2004 RAM TRUCK, DURANGO, SEBRING CONVERTIBLE, CHEROKEE, VISION, NEON, AND VOYAGER.   ( NHTSA ITEM NUMBER - 10003524 )"
103419,"2401305","508","2005-08-01",353600,"EQUIPMENT:ELECTRICAL:AIR CONDITIONER","10016603",2006,"AIR CONDITIONING (A/C) COOLING COIL ODOR.   ( NHTSA ITEM NUMBER - 10016603 )"
23201,"0801505","503","2005-03-01",103100,"POWER TRAIN:AUTOMATIC TRANSMISSION:CONTROL MODULE (TCM, PCM)","10013731",2006,"POWERTRAIN CONTROL MODULE INITIALIZATION.   ( NHTSA ITEM NUMBER - 10013731 )"
23203,"0901004","410","2004-10-01",61000,"ENGINE AND ENGINE COOLING:ENGINE","10006452",2006,"DIRT AND DEBRIS ACCUMULATION AT REAR MAIN SEAL.   ( NHTSA ITEM NUMBER - 10006452 )"
103410,"2300504","403","2004-03-01",162000,"STRUCTURE:BODY","10007314",2006,"SOFT TOP ZIPPER CLEANER AND LUBRICANT - FOR DIFFICULT TO OPERATE WINDOW ZIPPERS.   ( NHTSA ITEM NUMBER - 10007314 )"
103417,"2400703","308","2003-08-01",353600,"EQUIPMENT:ELECTRICAL:AIR CONDITIONER","10003527",2006,"HVAC DRIVE WATER LEAKS UNDER PASSENGER SIDE FRONT CARPET.   ( NHTSA ITEM NUMBER - 10003527 )"
103402,"1802002","206","2002-06-01",980000,"OTHER","634272",2006,"FLASH PROGRAMMING FAILURE RECOVERY.   ( NHTSA ITEM NUMBER - 634272 )"
103411,"2302501","109","2001-09-01",162000,"STRUCTURE:BODY","625588",2006,"SOFT TOP ZIPPER CLEANER AND LUBRICANT - FOR DIFFICULT TO OPERATE WINDOW ZIPPERS.   ( NHTSA ITEM NUMBER - 625588 )"
103418,"2401201","109","2001-09-01",138000,"VISIBILITY:DEFROSTER/DEFOGGER SYSTEM","625576",2006,"CUSTOMERS MAY COMPLAIN THAT THE HVAC DRAIN WATER LEAKS UNDER PASSENGER SIDE CARPET.   ( NHTSA ITEM NUMBER - 625576 )"
23217,"2500401","105","2001-05-01",63000,"ENGINE AND ENGINE COOLING:EXHAUST SYSTEM","620071",2006,"SUBJECT REGARDING ADDITIONAL DIAGNOSTIC FOR DIAGNOSTIC TROUBLE CODES CAUSED BY AN EVAPORATIVE SYSTEM LEAK.   ( NHTSA ITEM NUMBER - 620071 )"
103390,"0801001","105","2001-05-01",110000,"ELECTRICAL SYSTEM","620059",2006,"SUBJECT REGARDING AIRBAG / CLOCK SPRING SERVICE FOR VARIOUS MODELS INCLUDING 2002 MODEL YEAR JEEP LIBERTY.   ( NHTSA ITEM NUMBER - 620059 )"
103401,"1801201","105","2001-05-01",350000,"EQUIPMENT","620066",2006,"SUBJECT REGARDING GENERIC SCAN TOOL (GST), PUBLICATION NO. 81-170-00008 PROVIDED WITH THIS TECHNICAL SERVICE BULLETIN TO PROVIDE REFERENCE INFORMATION WHEN USING GENERIC SCAN TOOL ON OBDII VEHICLES.   ( NHTSA ITEM NUMBER - 620066 )"
23211,"2100601","103","2001-03-01",103000,"POWER TRAIN:AUTOMATIC TRANSMISSION","621898",2006,"AUTOMATIC TRANSMISSION FLUID USAGE ATF+4.   ( NHTSA ITEM NUMBER - 621898 )"
103389,"0800600REV","12","2000-12-01",110000,"ELECTRICAL SYSTEM","618049",2006,"SUBJECT REGARDING WIRE SPLICE REPAIRS.   ( NHTSA ITEM NUMBER - 618049 )"
103396,"082700","9","2000-09-01",140000,"AIR BAGS","6092304",2006,"SUBJECT REGARDING NON-DEPLOYED AIRBAG HANDLING PROCEDURES.   ( NHTSA ITEM NUMBER - 6092304 )"
23207,"180100","2","2000-02-01",61000,"ENGINE AND ENGINE COOLING:ENGINE","609988",2006,"SUBJECT REGARDING MISDIAGNOSED LEAK DETECTION PUMP SYSTEMS WITH DIAGNOSTIC TROUBLE CODES P1494, P0442 P0455, OR P0456.   ( NHTSA ITEM NUMBER - 609988 )"
103391,"080600","2","2000-02-01",114000,"ELECTRICAL SYSTEM:WIRING","609995",2006,"THIS BULLETIN PROVIDES A REVISED WIRE SPLICE PROCEDURE AND RELATED PARTS.   ( NHTSA ITEM NUMBER - 609995 )"
103400,"083799","9911","1999-11-01",145000,"AIR BAGS:ON-OFF SWITCH ASSEMBLY","6089800",2006,"DAIMLERCHRYSLER CORPORATION IS NOW OFFERINB AIRBAG ON / OFF SWITCHES FOR SELECTED VEHICLES.   ( NHTSA ITEM NUMBER - 6089800 )"
103416,"234199","9910","1999-10-01",162000,"STRUCTURE:BODY","612179",2006,"INFORMATION REGARDING THE IMPROVED DOOR WEATHER STRIP.   ( NHTSA ITEM NUMBER - 612179 )"
103422,"242199","9910","1999-10-01",138000,"VISIBILITY:DEFROSTER/DEFOGGER SYSTEM","612190",2006,"VEHICLES MAY EXPERIENCE WATER DRIPPING FROM THE BOTTOM OF THE EVAPORATOR DRAIN TUBE AND ENTER THE PASSENGER COMPARTMENT CAUSING WET CARPET OR WATER ON THE PASSENGER COMPARTMENT FLOOR.   ( NHTSA ITEM NUMBER - 612190 )"
23199,"021299","9908","1999-08-01",21000,"SUSPENSION:FRONT","607616",2006,"THIS BULLETIN PERTAINS TO FRONT END ALIGNMENT - ADJUSTABLE / OFFSET BALL JOINTS.   ( NHTSA ITEM NUMBER - 607616 )"
23208,"181299","9906","1999-06-01",103100,"POWER TRAIN:AUTOMATIC TRANSMISSION:CONTROL MODULE (TCM, PCM)","607298",2006,"THIS BULLETIN EXPLAINS THE OPERATION AND APPLICATION OF THE LEAK DETECTION PUMP (LDP) MONITOR TEST.   ( NHTSA ITEM NUMBER - 607298 )"
23202,"081499","9905","1999-05-01",61100,"ENGINE AND ENGINE COOLING:ENGINE:GASOLINE","606347",2006,"CONDITIONS WITH VEHICLE START AND STALL OR VEHICLE NO-START.   ( NHTSA ITEM NUMBER - 606347 )"
103393,"081599","9905","1999-05-01",110000,"ELECTRICAL SYSTEM","606058",2006,"SOME VEHICLES MAY EXHIBIT AN ERRATIC, INTERMITTENT CLUSTER OPERATION / INTERMITTENT AIR BAG WARNING LIGHT.   ( NHTSA ITEM NUMBER - 606058 )"
23213,"210899","9904","1999-04-01",103000,"POWER TRAIN:AUTOMATIC TRANSMISSION","604975",2006,"VEHICLES EXHIBITING BUZZ, WHINING, OR MOANING LIKE NOISE FROM COLD TRANSMISSION WHEN REVERSE GEAR IS SELECTED.   ( NHTSA ITEM NUMBER - 604975 )"
103404,"180799","9904","1999-04-01",980000,"OTHER","604971",2006,"EXHIBITING ERRONEOUS MALFUNCTION INDICATOR LAMP ILLUMINATION WITH DIAGNOSTIC TROUBLE CODE $A8 (P1763) GOVERNOR PRESSURE SENSOR VOLTS TOO HIGH.   ( NHTSA ITEM NUMBER - 604971 )"
103392,"080799","9903","1999-03-01",110000,"ELECTRICAL SYSTEM","604705",2006,"INFORMATION REGARDING POWER DISTRIBUTION CENTER (PDC) SERVICE.   ( NHTSA ITEM NUMBER - 604705 )"
103412,"230999","9903","1999-03-01",162000,"STRUCTURE:BODY","604702",2006,"SUBJECT ON WATER LEAK DIAGNOSTIC / REPAIR PROCEDURES.   ( NHTSA ITEM NUMBER - 604702 )"
103403,"180399","9902","1999-02-01",980000,"OTHER","604104",2006,"SUBJECT REGARDING ERRONEOUS MALFUNCTION INDICATOR LAMP ILLUMINATION WITH DIAGNOSTIC TROUBLE CODE $24 (PO107).   ( NHTSA ITEM NUMBER - 604104 )"
23205,"110798","9812","1998-12-01",63200,"ENGINE AND ENGINE COOLING:EXHAUST SYSTEM:MANIFOLD/HEADER/MUFFLER/TAIL PIPE","603108",2006,"OUTER EXHAUST MANIFOLD STUDS MAY FATIGUE/BREAK.   ( NHTSA ITEM NUMBER - 603108 )"
103395,"081798","9812","1998-12-01",145000,"AIR BAGS:ON-OFF SWITCH ASSEMBLY","603153",2006,"SUBJECT REGARDING AIRBAG ON - OFF SWITCHES.   ( NHTSA ITEM NUMBER - 603153 )"
